number,name
HPD-131D,DENIAL  CARD
HPD-131E,APPLICATION  FOR A LICENSE TO CARRY AN OPEN/CONCEALED FIREARM
HPD-132,FIREARMS REGISTRATION STATE OF HAWAII
HPD-133,OBNOXIOUS  SUBSTANCE - PERMIT
HPD-133C,"OBNOXIOUS
  SUBSTANCE - AGENCY APPLICATION AND LICENSE"
HPD-137,"ACCIDENT
  REPORT - REQUEST FOR COPIES"
HPD-141,FELONY CASE DISPOSITION
HPD-142,DAILY SPECIAL ASSIGNMENT AUTO RECORD
HPD-149,"LONG
  DISTANCE TELEPHONE CALL"
HPD-149A,"UNAUTHORIZED
  LONG DISTANCE CALLS"
HPD-150,"FIREARMS -
  PERMIT TO CARRY - APPLICATION"
HPD-150A,APPLICATION FOR A LICENSE TO CARRY FIREARM (ARMED GUARDS/DETECTIVES)
HPD-150B,APPLICATION FOR A LICENSE TO CARRY CONCEALED FIREARM (CIVILIAN/NOT FOR ARMED GUARDS)
HPD-150C,APPLICATION FOR A LICENSE TO CARRY UNCONCEALED FIREARM (CIVILIAN/NOT FOR ARMED GUARDS)
HPD-150D,HIPAA AUTHORIZATION TO RELEASE PROTECTED HEALTH INFORMATION
HPD-150E, APPLICATION FOR VERIFICATION TO ADMINISTER FIREARMS COURSE
HPD-150F,PERMIT TO  CARRY FIREARMS
HPD-150G,REQUEST FOR MENTAL HEALTH/SUBSTANCE ABUSE INFORMATION REGARDING APPLICATION FOR LICENSE TO CARRY CONCEALED FIREARM
HPD-151,"HELICOPTER
  WAIVER FORM"
HPD-151A,"WAIVER
  FORM FOR HELICOPTER RIDE (MINOR)"
HPD-152,"INMATE
  FURLOUGH INFORMATION REQUESTS"
HPD-152C,"INMATE
  FURLOUGH INFORMATION REQUESTS"
HPD-153,"REQUEST TO
  EXAMINE HOSPITAL RECORDS"
HPD-157,FEMA CENTER FOR HOMELAND SECURITY AND DEFENSE APPLICATION
HPD-158,FBI NATIONAL ACADEMY APPLICATION
HPD-159,TRAFFIC  CITATION TURNED IN BY OFFICER (Form to be printed directly from the HPD Intranet)
HPD-159A,"DAILY
  CITATION REPORT"
HPD-159B,PARKING  ENFORCEMENT SECTION ROUTE REPORT
HPD-159C,PARKING  ENFORCEMENT DAILY CITATION SUMMARY
HPD-162,"CELLBLOCK
  RUNNING LOG"
HPD-165,CASE RECORD
HPD-167,POSSIBLE  LIQUOR LAW VIOLATION
HPD-172,WITHDRAWAL OF COMPLAINT AND RELEASE (CRS)
"HPD-172, Chinese",WITHDRAWAL OF COMPLAINT AND RELEASE (CHINESE)
"HPD-172, Chuukese",WITHDRAWAL OF COMPLAINT AND RELEASE (CHUUKESE)
"HPD-172, Ilokano",WITHDRAWAL OF COMPLAINT AND RELEASE (ILOKANO)
